Year,File Name,Collected,Archived,Not Archived,archive.org,archive-it.org,archive.org U archive-it.org,archive.org & archive-it.org,archive.today,stanford,arquivo,perma,others U,not in IA but in others,IA U - others U,others U - IA U,IA U & others U,Error Occurred
1999,1999-01-09.txt,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2000-11-21.txt,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2001-04-21.txt,63,2,61,2,0,2,0,1,0,0,0,1,0,1,0,1,0
2002,2002-01-01.txt,73,2,71,2,0,2,0,0,0,0,0,0,0,2,0,0,0
2003,2003-05-19.txt,67,10,57,10,0,10,0,0,0,0,0,0,0,10,0,0,0
2004,2004-01-03.txt,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2005-01-15.txt,105,11,94,11,0,11,0,0,0,0,0,0,0,11,0,0,0
2006,2006-05-02.txt,78,4,74,4,0,4,0,0,0,0,0,0,0,4,0,0,0
2007,2007-02-17.txt,106,8,98,8,0,8,0,0,0,0,0,0,0,8,0,0,0
2008,2008-01-04.txt,85,10,75,10,0,10,0,0,0,0,0,0,0,10,0,0,0
2009,2009-06-22.txt,85,17,68,17,0,17,0,0,0,0,0,0,0,17,0,0,0
2010,2010-04-05.txt,74,68,6,68,0,68,0,0,0,0,0,0,0,68,0,0,0
2011,2011-04-01.txt,95,30,65,30,0,30,0,1,0,0,0,1,0,29,0,1,0
2012,2012-01-18.txt,107,47,60,47,0,47,0,0,0,1,0,1,0,46,0,1,0
2013,2013-01-02.txt,99,72,27,72,0,72,0,0,0,0,0,0,0,72,0,0,0
2014,2014-02-09.txt,117,53,64,53,0,53,0,0,0,0,0,0,0,53,0,0,0
2015,2015-02-10.txt,136,122,14,122,0,122,0,1,0,1,0,1,0,121,0,1,0
2016,2016-03-29.txt,147,61,86,61,0,61,0,0,0,0,0,0,0,61,0,0,0
2017,2017-01-11.txt,189,188,1,188,0,188,0,0,0,0,0,0,0,188,0,0,0
2018,2018-01-13.txt,156,153,3,153,0,153,0,0,0,0,0,0,0,153,0,0,0
2019,2019-01-29.txt,132,109,23,109,0,109,0,0,0,0,0,0,0,109,0,0,0
2020,2020-02-28.txt,278,135,143,135,0,135,0,0,0,1,0,1,0,134,0,1,0
2021,2021-03-07.txt,304,259,45,259,0,259,0,1,0,0,0,1,0,258,0,1,0
2022,2022-01-28.txt,74,74,0,74,0,74,0,0,0,0,0,0,0,74,0,0,0
Totals,All Files,2684,1435,1249,1435,0,1435,0,4,0,3,0,6,0,1429,0,6,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
