Year,File Name,Collected,Archived,Not Archived,archive.org,archive-it.org,archive.org U archive-it.org,archive.org & archive-it.org,archive.today,stanford,arquivo,perma,others U,not in IA but in others,IA U - others U,others U - IA U,IA U & others U,Error Occurred
1999,1999-01-09.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2000-11-21.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,2001-04-21.txt,19,16,3,16,5,16,5,0,6,0,0,6,0,10,0,6,0
2002,2002-01-01.txt,20,6,14,6,1,6,1,0,0,0,0,0,0,6,0,0,0
2003,2003-05-19.txt,60,15,45,14,6,14,6,0,1,0,0,1,1,14,1,0,0
2004,2004-01-03.txt,54,16,38,15,7,15,7,0,4,0,0,4,1,12,1,3,0
2005,2005-01-15.txt,60,33,27,32,3,32,3,0,3,0,0,3,1,30,1,2,0
2006,2006-05-02.txt,76,24,52,23,4,23,4,0,5,0,0,5,1,19,1,4,0
2007,2007-02-17.txt,58,16,42,16,6,16,6,0,3,0,0,3,0,13,0,3,0
2008,2008-01-04.txt,72,15,57,15,5,15,5,0,1,0,0,1,0,14,0,1,0
2009,2009-06-22.txt,64,15,49,14,4,14,4,2,2,0,0,3,1,12,1,2,0
2010,2010-04-05.txt,119,64,55,64,10,64,10,0,2,1,0,3,0,61,0,3,0
2011,2011-04-01.txt,141,40,101,40,6,40,6,0,4,0,0,4,0,36,0,4,0
2012,2012-01-18.txt,135,72,63,71,13,71,13,0,3,0,0,3,1,69,1,2,0
2013,2013-01-02.txt,160,158,2,158,0,158,0,0,12,1,0,13,0,145,0,13,0
2014,2014-02-09.txt,61,32,29,32,0,32,0,0,0,1,0,1,0,31,0,1,0
2015,2015-02-10.txt,35,22,13,22,1,22,1,0,0,1,0,1,0,21,0,1,0
2016,2016-03-29.txt,34,33,1,33,0,33,0,1,0,4,0,5,0,28,0,5,0
2017,2017-01-11.txt,31,30,1,30,1,30,1,2,0,1,0,2,0,28,0,2,0
2018,2018-01-13.txt,26,23,3,23,0,23,0,0,0,0,0,0,0,23,0,0,0
2019,2019-01-29.txt,45,44,1,44,0,44,0,1,0,4,0,5,0,39,0,5,0
2020,2020-02-28.txt,67,65,2,65,0,65,0,1,0,4,0,5,0,60,0,5,0
2021,2021-03-07.txt,36,36,0,36,29,36,29,4,0,9,0,12,0,24,0,12,0
2022,2022-01-28.txt,59,59,0,59,55,59,55,16,0,8,2,22,0,37,0,22,0
Totals,All Files,1432,834,598,828,156,828,156,27,46,34,2,102,6,732,6,96,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
